weight:1.200000---avg:0.202668 mseX:0.057427 mseY:0.079418 mseS:0.068423
weight:1.200000---avg:0.202027 mseX:0.056664 mseY:0.080212 mseS:0.068438
weight:1.200000---avg:0.197907 mseX:0.056133 mseY:0.077656 mseS:0.066895
weight:1.200000---avg:0.204004 mseX:0.057767 mseY:0.080999 mseS:0.069383
weight:1.200000---avg:0.202957 mseX:0.057022 mseY:0.082570 mseS:0.069796
weight:1.200000---avg:0.202079 mseX:0.055326 mseY:0.081983 mseS:0.068654
weight:1.200000---avg:0.200185 mseX:0.055085 mseY:0.081818 mseS:0.068451
weight:1.200000---avg:0.204414 mseX:0.056270 mseY:0.085295 mseS:0.070782
weight:1.200000---avg:0.202386 mseX:0.056645 mseY:0.080520 mseS:0.068583
weight:1.200000---avg:0.204590 mseX:0.057515 mseY:0.082751 mseS:0.070133
weight:1.200000---avg:0.167262 mseX:0.040118 mseY:0.055555 mseS:0.047837
weight:1.200000---avg:0.166726 mseX:0.041011 mseY:0.054958 mseS:0.047985
weight:1.200000---avg:0.167486 mseX:0.039987 mseY:0.055354 mseS:0.047671
weight:1.200000---avg:0.167083 mseX:0.040018 mseY:0.055176 mseS:0.047597
weight:1.200000---avg:0.168448 mseX:0.041407 mseY:0.054711 mseS:0.048059
weight:1.200000---avg:0.172831 mseX:0.042342 mseY:0.059413 mseS:0.050877
weight:1.200000---avg:0.169652 mseX:0.041032 mseY:0.056672 mseS:0.048852
weight:1.200000---avg:0.168944 mseX:0.041546 mseY:0.054684 mseS:0.048115
weight:1.200000---avg:0.170678 mseX:0.041972 mseY:0.056068 mseS:0.049020
weight:1.200000---avg:0.169855 mseX:0.041490 mseY:0.056407 mseS:0.048948
weight:1.200000---avg:0.173629 mseX:0.042652 mseY:0.060775 mseS:0.051714
weight:1.200000---avg:0.169258 mseX:0.040816 mseY:0.056829 mseS:0.048823
weight:1.200000---avg:0.174954 mseX:0.043194 mseY:0.060628 mseS:0.051911
weight:1.200000---avg:0.168306 mseX:0.039766 mseY:0.056411 mseS:0.048089
weight:1.200000---avg:0.167936 mseX:0.040351 mseY:0.055987 mseS:0.048169
weight:1.200000---avg:0.171370 mseX:0.041610 mseY:0.058545 mseS:0.050077
weight:1.200000---avg:0.168450 mseX:0.039881 mseY:0.058549 mseS:0.049215
weight:1.200000---avg:0.170032 mseX:0.041305 mseY:0.056084 mseS:0.048695
weight:1.200000---avg:0.167565 mseX:0.040878 mseY:0.055533 mseS:0.048205
weight:1.200000---avg:0.170175 mseX:0.040914 mseY:0.057743 mseS:0.049329
weight:1.200000---avg:0.168827 mseX:0.039715 mseY:0.057274 mseS:0.048494
weight:1.200000---avg:0.169137 mseX:0.040287 mseY:0.056766 mseS:0.048527
weight:1.200000---avg:0.171797 mseX:0.041669 mseY:0.058261 mseS:0.049965
weight:1.200000---avg:0.170829 mseX:0.041175 mseY:0.058043 mseS:0.049609
weight:1.200000---avg:0.170876 mseX:0.041474 mseY:0.057540 mseS:0.049507
weight:1.200000---avg:0.168055 mseX:0.039799 mseY:0.057351 mseS:0.048575
weight:1.200000---avg:0.173048 mseX:0.041301 mseY:0.061824 mseS:0.051563
weight:1.200000---avg:0.172216 mseX:0.040992 mseY:0.060766 mseS:0.050879
weight:1.200000---avg:0.168839 mseX:0.039275 mseY:0.057286 mseS:0.048281
weight:1.200000---avg:0.172518 mseX:0.042138 mseY:0.057660 mseS:0.049899
weight:1.200000---avg:0.172168 mseX:0.041878 mseY:0.058920 mseS:0.050399
weight:1.200000---avg:0.172021 mseX:0.041500 mseY:0.058984 mseS:0.050242
weight:1.200000---avg:0.167740 mseX:0.039400 mseY:0.055435 mseS:0.047417
weight:1.200000---avg:0.169724 mseX:0.038864 mseY:0.058928 mseS:0.048896
weight:1.200000---avg:0.169556 mseX:0.040842 mseY:0.057074 mseS:0.048958
weight:1.200000---avg:0.170232 mseX:0.040323 mseY:0.059662 mseS:0.049993
