a:0.200000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.668947 mseX:0.840820 mseY:1.136961 mseS:0.988891
a:0.400000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.842397 mseY:1.142939 mseS:0.992668
a:0.600000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.666739 mseX:0.841744 mseY:1.120651 mseS:0.981198
a:0.800000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670507 mseX:0.842862 mseY:1.142677 mseS:0.992770
a:1.000000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.842295 mseY:1.142939 mseS:0.992617
a:1.200000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.662222 mseX:0.834844 mseY:1.120939 mseS:0.977892
a:1.400000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.672662 mseX:0.845741 mseY:1.146356 mseS:0.996048
a:1.600000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.669295 mseX:0.846000 mseY:1.132194 mseS:0.989097
a:1.800000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670540 mseX:0.838554 mseY:1.147475 mseS:0.993015
a:0.200000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.668941 mseX:0.847029 mseY:1.132912 mseS:0.989971
a:0.400000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.842519 mseY:1.128751 mseS:0.985635
a:0.600000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.668191 mseX:0.839152 mseY:1.147407 mseS:0.993280
a:0.800000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.842678 mseY:1.128751 mseS:0.985714
a:1.000000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.665198 mseX:0.837685 mseY:1.117421 mseS:0.977553
a:1.200000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.671255 mseX:0.840505 mseY:1.145138 mseS:0.992822
a:1.400000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.842519 mseY:1.128751 mseS:0.985635
a:1.600000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.842285 mseY:1.142939 mseS:0.992612
