deg:45.000000 cor:0.500000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.051655 mseX:0.005937 mseY:0.004792 mseS:0.005364
deg:90.000000 cor:0.500000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050464 mseX:0.004583 mseY:0.003249 mseS:0.003916
deg:135.000000 cor:0.500000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050699 mseX:0.004616 mseY:0.003291 mseS:0.003954
deg:180.000000 cor:0.500000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050680 mseX:0.004614 mseY:0.003293 mseS:0.003953
deg:45.000000 cor:0.700000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050612 mseX:0.004594 mseY:0.003266 mseS:0.003930
deg:90.000000 cor:0.700000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050949 mseX:0.004697 mseY:0.003307 mseS:0.004002
deg:135.000000 cor:0.700000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050657 mseX:0.004613 mseY:0.003285 mseS:0.003949
deg:180.000000 cor:0.700000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050708 mseX:0.004619 mseY:0.003300 mseS:0.003959
deg:45.000000 cor:0.900000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050688 mseX:0.004619 mseY:0.003291 mseS:0.003955
deg:90.000000 cor:0.900000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050680 mseX:0.004614 mseY:0.003293 mseS:0.003953
deg:135.000000 cor:0.900000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050464 mseX:0.004583 mseY:0.003249 mseS:0.003916
deg:180.000000 cor:0.900000 itera:5 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050874 mseX:0.004684 mseY:0.003297 mseS:0.003991
deg:45.000000 cor:0.500000 itera:10 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.049731 mseX:0.004488 mseY:0.003248 mseS:0.003868
deg:90.000000 cor:0.500000 itera:10 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.049755 mseX:0.004488 mseY:0.003255 mseS:0.003872
deg:135.000000 cor:0.500000 itera:10 ep_xy:0.000001 ep_theta:0.000001 dist:0.500000 Perc:0.500000---avg:0.050131 mseX:0.004544 mseY:0.003337 mseS:0.003941
