a:0.200000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.668947 mseX:0.674023 mseY:0.970894 mseS:0.822459
a:0.400000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.680261 mseY:0.976289 mseS:0.828275
a:0.600000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.666739 mseX:0.677443 mseY:0.955739 mseS:0.816591
a:0.800000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670507 mseX:0.678503 mseY:0.976426 mseS:0.827464
a:1.000000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.680261 mseY:0.976289 mseS:0.828275
a:1.200000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.662222 mseX:0.676470 mseY:0.954526 mseS:0.815498
a:1.400000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.672662 mseX:0.682687 mseY:0.979173 mseS:0.830930
a:1.600000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.669295 mseX:0.682846 mseY:0.968204 mseS:0.825525
a:1.800000 yawdd:0.050000 laspx:0.150000 laspy:0.120000---avg:0.670540 mseX:0.677899 mseY:0.981024 mseS:0.829462
a:0.200000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.668941 mseX:0.682720 mseY:0.968985 mseS:0.825852
a:0.400000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.680374 mseY:0.965293 mseS:0.822834
a:0.600000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.668191 mseX:0.673252 mseY:0.980155 mseS:0.826703
a:0.800000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.680374 mseY:0.965293 mseS:0.822834
a:1.000000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.665198 mseX:0.674618 mseY:0.953907 mseS:0.814263
a:1.200000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.671255 mseX:0.682787 mseY:0.974225 mseS:0.828506
a:1.400000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.667445 mseX:0.680374 mseY:0.965293 mseS:0.822834
a:1.600000 yawdd:0.100000 laspx:0.150000 laspy:0.120000---avg:0.670824 mseX:0.680261 mseY:0.976289 mseS:0.828275
