a:0.200000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.615316 mseX:0.694182 mseY:0.744970 mseS:0.719576
a:0.400000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.666795 mseX:0.645704 mseY:1.008660 mseS:0.827182
a:0.800000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.400000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.050000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.200000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664894 mseX:0.643327 mseY:1.007209 mseS:0.825268
a:0.400000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:0.800000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.400000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.666795 mseX:0.645704 mseY:1.008660 mseS:0.827182
a:1.800000 yawdd:0.100000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.200000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.400000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.800000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.400000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.150000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:0.200000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.400000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.800000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.400000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.200000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.200000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.666795 mseX:0.645704 mseY:1.008660 mseS:0.827182
a:0.400000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:0.800000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:1.200000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.666795 mseX:0.645704 mseY:1.008660 mseS:0.827182
a:1.400000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.250000 laspx:0.030000 laspy:0.030000---avg:0.667366 mseX:0.648538 mseY:1.011782 mseS:0.830160
a:0.200000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.400000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.800000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.000000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.400000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:1.600000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.300000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.200000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.400000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.800000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:1.000000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.200000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.667611 mseX:0.648878 mseY:1.004517 mseS:0.826698
a:1.400000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.600000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:1.800000 yawdd:0.350000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.200000 yawdd:0.400000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
a:0.400000 yawdd:0.400000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.600000 yawdd:0.400000 laspx:0.030000 laspy:0.030000---avg:0.664646 mseX:0.648621 mseY:0.995893 mseS:0.822257
a:0.800000 yawdd:0.400000 laspx:0.030000 laspy:0.030000---avg:0.664981 mseX:0.648046 mseY:1.001610 mseS:0.824828
