a:0.200000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.000000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.200000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.200000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.350000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.200000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.400000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.200000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.708491 mseX:0.741259 mseY:1.134065 mseS:0.937662
a:1.400000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
